ath-miRf10098-npr	NONATHT000327
ath-miRf10098-npr	NONATHT003411
ath-miRf10101-npr	NONATHT000413
ath-miRf10101-npr	NONATHT000453
ath-miRf10101-npr	NONATHT001063
ath-miRf10101-npr	NONATHT002116
ath-miRf10101-npr	NONATHT002181
ath-miRf10101-npr	NONATHT002639
ath-miRf10101-npr	NONATHT003333
ath-miRf10101-npr	NONATHT003418
ath-miRf10101-npr	NONATHT003422
ath-miRf10101-npr	NONATHT003424
ath-miRf10103-npr	NONATHT000847
ath-miRf10110-npr	NONATHT000035
ath-miRf10119-npr	NONATHT001056
ath-miRf10119-npr	NONATHT001059
ath-miRf10123-npr	NONATHT003269
ath-miRf10125-npr	NONATHT000425
ath-miRf10125-npr	NONATHT001072
ath-miRf10125-npr	NONATHT001210
ath-miRf10125-npr	NONATHT001220
ath-miRf10125-npr	NONATHT002242
ath-miRf10125-npr	NONATHT002362
ath-miRf10125-npr	NONATHT002629
ath-miRf10125-npr	NONATHT002639
ath-miRf10125-npr	NONATHT002748
ath-miRf10125-npr	NONATHT003332
ath-miRf10125-npr	NONATHT003335
ath-miRf10125-npr	NONATHT003372
ath-miRf10125-npr	NONATHT003387
ath-miRf10125-npr	NONATHT003395
ath-miRf10125-npr	NONATHT003402
ath-miRf10125-npr	NONATHT003422
ath-miRf10125-npr	NONATHT003424
ath-miRf10125-npr	NONATHT003462
ath-miRf10142-npr	NONATHT000374
ath-miRf10142-npr	NONATHT000426
ath-miRf10142-npr	NONATHT001063
ath-miRf10142-npr	NONATHT002534
ath-miRf10142-npr	NONATHT002641
ath-miRf10142-npr	NONATHT002717
ath-miRf10142-npr	NONATHT002720
ath-miRf10142-npr	NONATHT003399
ath-miRf10142-npr	NONATHT003488
ath-miRf10143-npr	NONATHT000374
ath-miRf10143-npr	NONATHT000413
ath-miRf10143-npr	NONATHT000423
ath-miRf10143-npr	NONATHT000425
ath-miRf10143-npr	NONATHT001237
ath-miRf10143-npr	NONATHT001300
ath-miRf10143-npr	NONATHT002131
ath-miRf10143-npr	NONATHT002532
ath-miRf10143-npr	NONATHT002540
ath-miRf10143-npr	NONATHT002616
ath-miRf10143-npr	NONATHT002743
ath-miRf10143-npr	NONATHT003372
ath-miRf10143-npr	NONATHT003392
ath-miRf10143-npr	NONATHT003399
ath-miRf10143-npr	NONATHT003403
ath-miRf10143-npr	NONATHT003422
ath-miRf10143-npr	NONATHT003424
ath-miRf10143-npr	NONATHT003472
ath-miRf10143-npr	NONATHT003484
ath-miRf10147-npr	NONATHT002181
ath-miRf10147-npr	NONATHT002744
ath-miRf10147-npr	NONATHT003336
ath-miRf10147-npr	NONATHT003409
ath-miRf10148-npr	NONATHT000163
ath-miRf10148-npr	NONATHT000771
ath-miRf10155-npr	NONATHT000439
ath-miRf10155-npr	NONATHT001210
ath-miRf10155-npr	NONATHT001226
ath-miRf10155-npr	NONATHT002136
ath-miRf10155-npr	NONATHT002632
ath-miRf10155-npr	NONATHT002656
ath-miRf10155-npr	NONATHT002773
ath-miRf10155-npr	NONATHT003399
ath-miRf10155-npr	NONATHT003472
ath-miRf10168-npr	NONATHT000422
ath-miRf10168-npr	NONATHT002534
ath-miRf10168-npr	NONATHT002686
ath-miRf10168-npr	NONATHT002720
ath-miRf10168-npr	NONATHT003392
ath-miRf10168-npr	NONATHT003462
ath-miRf10179-npr	NONATHT003284
ath-miRf10184-npr	NONATHT001929
ath-miRf10193-npr	NONATHT000406
ath-miRf10193-npr	NONATHT001157
ath-miRf10193-npr	NONATHT002613
ath-miRf10193-npr	NONATHT003484
ath-miRf10204-npr	NONATHT001047
ath-miRf10204-npr	NONATHT001179
ath-miRf10204-npr	NONATHT002720
ath-miRf10207-npr	NONATHT000419
ath-miRf10207-npr	NONATHT000423
ath-miRf10207-npr	NONATHT000425
